,title,link
0,b'Coding Startups - Coders with entrepreneurial mindset',https://codingstartups.com/
1,b'Recruit Developers: Must-Ask Questions - Coding Startups',https://codingstartups.com/recruit-developers-must-ask-questions/
2,"b'Lauren Glass, Author at Coding Startups'",https://codingstartups.com/author/ljglass/
3,b'Machine Learning for hackers: model comparison ... - Coding Startups',https://codingstartups.com/machine-learning-hackers-model-comparison-selection/
4,b'CodingStartups - Startpagina | Facebook',https://nl-nl.facebook.com/codingstartups/
5,b'CodingStartups - Website | Facebook - 2 Reviews - 3 Photos',https://www.facebook.com/codingstartups/?ref=page_internal
6,b'CodingStartups (@codingstartups) \xe2\x80\xa2 Instagram photos and videos',https://www.instagram.com/codingstartups/
7,b'Ofir Chakon | Professional Profile - LinkedIn',https://il.linkedin.com/in/ofir-chakon-5811725b
8,b'Improve your Django project with these best practices',https://medium.freecodecamp.org/improve-your-django-project-with-these-best-practices-47fd60a7bff3
9,b'Ofir Chakon \xe2\x80\x93 freeCodeCamp - freeCodeCamp - Medium',https://medium.freecodecamp.org/@OfirChakon
